 _dewptm, _hum, _pressurem, _tempm, _vism, _wdird, _wdire, _conds
10,52,1011,20,2,200,SSW,Smoke
10,46,1012,22,3.5,240,WSW,Smoke
10,44,1012,23,4.5,250,WSW,Smoke
11,39,1012,26,5,240,WSW,Smoke
8,25,1009,30,5,270,West,Smoke
10,34,1009,27,3.5,20,NNE,Smoke
9,36,1013,25,3,0,North,Smoke
9,38,1013,24,2.2,0,North,Smoke
10,46,1014,22,1.5,0,North,Smoke
9,49,1014,20,1.5,0,North,Smoke
9,52,1014,19,1.5,0,North,Smoke
9,52,1014,19,1.5,0,North,Smoke
8,49,1014,19,1.5,0,North,Smoke
8,52,1014,18,1.5,0,North,Smoke
9,59,1014,17,1.4,0,North,Smoke
9,59,1013,17,1.4,0,North,Smoke
8,59,1015,16,2,240,WSW,Smoke
7,49,1016,18,2.5,240,WSW,Smoke
9,46,1016,21,3,240,WSW,Smoke
9,38,1016,24,4,280,West,Smoke
9,32,1016,27,4,270,West,Smoke
5,23,1015,28,5,300,WNW,Smoke
6,26,1014,27,3.5,0,North,Smoke
9,41,1014,23,3,0,North,Smoke
9,46,1015,21,2.4,0,North,Smoke
10,49,1015,21,1.7,0,North,Smoke
9,49,1015,20,1.2,0,North,Smoke
9,52,1015,19,0.8,0,North,Smoke
10,59,1015,18,1,0,North,Smoke
9,59,1014,17,1.4,0,North,Smoke
9,59,1014,17,1.5,0,North,Smoke
8,59,1014,16,1.6,0,North,Smoke
8,59,1014,16,2,0,North,Smoke
7,55,1014,16,2,0,North,Smoke
7,59,1014,15,2,210,SSW,Smoke
6,52,1015,16,2,230,SW,Smoke
7,49,1016,18,2.5,240,WSW,Smoke
9,46,1016,21,3.5,270,West,Smoke
9,38,1016,24,5,240,WSW,Smoke
7,28,1014,27,5,270,West,Smoke
8,28,1013,28,5,270,West,Smoke
8,30,1012,27,4.5,280,West,Smoke
7,32,1013,25,3.5,280,West,Smoke
8,43,1013,21,2.8,0,North,Smoke
8,46,1014,20,2,0,North,Smoke
7,63,1013,14,2,0,North,Smoke
7,59,1014,15,2.5,230,SW,Smoke
7,49,1014,18,3,260,West,Smoke
8,41,1015,22,4,220,SW,Smoke
8,36,1014,24,5,250,WSW,Smoke
6,33,1011,23,4,0,North,Smoke
7,40,1011,21,3,0,North,Smoke
9,56,1012,18,1.2,0,North,Smoke
8,49,-9999,19,2,0,North,Smoke
7,49,1012,18,1.5,0,North,Smoke
6,48,1011,17,1.5,0,North,Smoke
7,55,1011,16,1.5,0,North,Smoke
7,59,1011,15,1.5,0,North,Smoke
8,67,1011,14,1.4,0,North,Smoke
7,63,1011,14,2,0,North,Smoke
7,63,1012,14,1.5,0,North,Smoke
7,59,1012,15,2,0,North,Smoke
7,49,1013,18,1.5,0,North,Smoke
5,40,1014,19,3,0,North,Smoke
7,34,1014,24,3,0,North,Smoke
7,28,1014,27,4,150,SSE,Smoke
4,21,1014,28,4.5,230,SW,Smoke
7,38,1012,22,1.8,0,North,Smoke
7,43,1013,20,1.4,90,East,Smoke
6,40,1013,20,1.2,90,East,Smoke
5,37,1013,20,1.6,100,East,Smoke
6,43,1013,19,1.8,0,North,Smoke
5,37,1013,20,2,0,North,Smoke
7,49,1013,18,2,0,North,Smoke
9,59,1013,17,1.5,70,ENE,Smoke
9,63,1012,16,1.5,70,ENE,Smoke
9,63,1013,16,1.5,80,East,Smoke
7,55,1013,16,1.4,100,East,Smoke
6,38,1014,21,2,110,ESE,Smoke
6,31,1015,24,2,100,East,Smoke
6,28,1015,26,3,0,North,Smoke
5,23,1014,28,4,140,SE,Smoke
8,34,1011,25,3,0,North,Smoke
8,36,-9999,24,1.8,0,North,Smoke
8,38,1011,23,1.1,0,North,Smoke
7,38,1011,22,1.1,80,East,Smoke
8,41,1012,22,1.3,100,East,Smoke
10,49,1012,21,0.9,60,ENE,Smoke
10,49,1012,21,0.8,80,East,Smoke
10,56,1012,19,1.5,0,North,Smoke
10,52,1011,20,0.5,70,ENE,Smoke
10,52,1011,20,0.5,70,ENE,Smoke
12,68,1011,18,1.5,0,North,Smoke
12,72,1011,17,1.5,0,North,Smoke
11,68,-9999,17,7,0,North,Smoke
11,60,1011,19,0.7,130,SE,Smoke
10,32,1011,28,6,260,West,Clear
10,29,1010,30,7,250,WSW,Clear
8,24,1009,31,7,280,West,Clear
7,22,1009,31,6,270,West,Clear
7,22,1009,31,6,280,West,Clear
4,18,1012,31,6,210,SSW,Clear
5,19,1010,31,8,0,North,Clear
5,20,1011,30,8,120,ESE,Clear
4,20,1012,29,6,250,WSW,Clear
2,17,1011,30,6,270,West,Clear
1,17,1011,28,6,290,WNW,Clear
2,18,1011,29,6,290,WNW,Clear
7,30,1013,26,6,240,WSW,Clear
6,25,1012,28,6,270,West,Clear
5,22,1012,29,6,270,West,Clear
4,20,1011,29,6,270,West,Clear
5,24,1011,27,6,290,WNW,Clear
7,26,1013,28,6,290,WNW,Clear
9,88,1018,11,1.5,0,North,Clear
9,94,1018,10,1.5,0,North,Clear
9,94,1018,10,1.5,0,North,Clear
8,87,1019,10,1.5,0,North,Clear
8,87,1019,10,3,0,North,Clear
8,82,1020,11,1.5,0,North,Clear
7,63,1020,14,1.5,230,SW,Clear
18,88,1010,20,1.2,0,North,Clear
19,100,1010,19,1,230,SW,Clear
20,40.1,998,37,2.5,90,East,Clear
22,39.5,998,35,2.2,120,ESE,Clear
21,37.1,998,34,2,120,ESE,Clear
20,35.2,998,33,2.4,110,ESE,Clear
21,36,998,33,2.8,130,SE,Clear
23,36.8,998,32,2.2,120,ESE,Clear
24,39.2,998,33,2.2,130,SE,Clear
24,39.2,999,33,2.2,0,North,Clear
24,40.6,999,34,2.2,140,SE,Clear
24,43.1,999,36,2.8,140,SE,Clear
22,40.6,999,36,2.8,260,West,Clear
22,43,999,38,3,50,NE,Clear
23,44.4,998,38,3,90,East,Clear
23,44.4,998,38,2.7,300,WNW,Clear
22,44.3,998,39,2.8,210,SSW,Clear
22,45.5,998,40,2.5,310,NW,Clear
21,45.6,998,41,2.5,250,WSW,Clear
19,45.1,997,42,2.2,260,West,Clear
19,45.1,997,42,2.5,20,NNE,Clear
20,47.6,996,43,2.5,60,ENE,Clear
19,46.5,996,43,2.5,360,North,Clear
17,46.1,996,44,2.5,10,North,Clear
17,46.1,995,44,2.5,100,East,Clear
21,43.3,995,39,2.6,120,ESE,Clear
20,42.5,995,39,2.6,110,ESE,Clear
21,42.1,996,38,2.6,110,ESE,Clear
21,40.8,996,37,2.6,110,ESE,Clear
21,40.8,997,37,2.8,130,SE,Clear
21,40.8,997,37,3,140,SE,Clear
20,40.1,997,37,3,110,ESE,Clear
19,39.3,997,37,3,100,East,Clear
21,39.5,997,36,3,110,ESE,Clear
22,39.5,997,35,3,120,ESE,Clear
12,40.1,997,41,2.5,30,NNE,Clear
12,39.1,998,40,2.5,70,ENE,Clear
12,36.9,998,38,2.5,90,East,Clear
12,36.9,999,38,2.5,0,North,Clear
14,37.6,999,38,2.5,0,North,Clear
14,36.4,999,37,2.5,0,North,Clear
15,36.9,999,37,2.5,0,North,Clear
13,36.2,999,37,2.5,170,South,Clear
14,36.4,999,37,2.5,170,South,Clear
13,35,999,36,2.5,150,SSE,Clear
13,33.9,999,35,2.5,220,SW,Clear
13,33.9,999,35,2.5,230,SW,Clear
14,33.3,999,34,2.5,270,West,Clear
14,32.1,999,33,3,270,West,Clear
15,32.6,999,33,3,0,North,Clear
15,32.6,998,33,3,0,North,Clear
13,31.9,998,33,3,250,WSW,Clear
14,32.1,999,33,3,0,North,Clear
